Rate of Rhode Island Residents Who Have Completed Primary Vaccine Series per 100,000 Population by Municipality of Residence and Week																																								
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry; US Census Bureau, 2018 American Community Survey 5-year population estimates																																								
Last updated:	10/27/2021																																							
																																								
NOTES: Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																								
																																								
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	TOTAL
4/11/21-4/17/21	3,740	2,492	2,091	836	2,815	2,331	2,117	3,625	3,381	2,175	2,816	1,450	2,296	1,923	2,857	2,213	3,359	2,710	3,041	3,704	5,562	2,011	3,182	1,802	2,826	2,058	2,888	1,601	2,846	2,160	2,238	3,114	2,036	2,412	2,395	2,282	2,086	1,755	1,996	2,282
4/18/21-4/24/21	3,808	2,456	2,225	2,115	2,725	2,991	2,812	2,730	4,123	2,436	3,745	1,919	2,932	2,293	3,621	2,603	3,022	2,910	3,247	2,875	4,837	2,552	3,648	3,207	2,640	2,507	3,284	2,518	2,452	2,660	2,654	2,642	2,422	2,784	3,056	3,156	2,766	2,042	1,909	2,730
4/25/21-5/1/21	5,705	3,688	2,954	1,125	3,560	4,069	4,217	3,763	4,972	3,657	4,291	3,178	3,091	3,637	4,258	3,650	4,038	3,738	3,875	3,588	5,804	2,807	4,339	3,873	3,644	4,067	4,208	3,300	3,252	3,971	3,763	3,094	3,067	4,090	4,175	3,577	3,958	3,890	2,610	3,697
5/2/21-5/8/21	4,586	2,550	2,358	2,673	3,123	3,317	3,678	3,128	4,414	3,836	2,743	2,517	2,902	3,206	3,457	3,472	3,128	2,311	3,085	2,637	3,507	2,609	3,911	3,318	2,680	3,481	2,796	3,251	3,750	3,159	2,788	2,642	2,080	3,061	3,313	3,480	3,661	3,518	2,443	3,241
5/9/21-5/15/21	7,918	5,415	4,522	2,492	4,653	5,981	5,652	5,899	7,152	5,998	5,927	5,737	5,019	4,895	5,968	5,182	5,577	4,251	6,176	4,932	9,190	6,021	6,773	4,553	4,713	4,094	5,936	5,003	5,757	5,583	5,335	5,443	4,584	5,654	6,285	6,020	6,341	3,775	3,493	5,327
5/16/21-5/22/21	2,188	2,591	2,407	1,868	3,663	2,742	2,136	3,013	2,716	2,289	2,890	1,919	2,316	3,440	3,002	2,350	2,550	2,625	3,010	2,675	8,585	2,795	3,892	2,446	2,883	2,365	2,991	2,124	3,685	2,282	2,349	3,062	2,257	2,899	2,479	2,557	2,542	3,664	2,983	2,549
5/23/21-5/29/21	1,428	1,457	1,519	1,481	2,185	2,114	1,923	1,734	1,369	1,501	2,020	1,727	1,302	2,022	1,365	1,741	1,474	1,170	1,841	1,569	9,553	1,862	2,072	1,938	1,530	1,576	1,889	1,819	2,151	1,773	1,401	1,552	1,511	2,126	2,029	1,974	2,290	2,002	1,960	1,797
5/30/21-6/5/21	3,431	1,399	1,647	1,538	2,185	1,481	1,685	1,486	3,282	1,406	1,416	1,898	2,594	2,786	1,765	1,262	1,700	827	1,754	1,100	5,441	1,361	1,751	1,349	1,539	1,342	1,872	1,724	2,675	1,547	1,258	1,454	1,113	1,678	1,576	1,424	1,340	999	1,235	1,601
6/6/21-6/12/21	2,856	1,664	2,243	2,363	1,170	2,401	1,666	2,185	2,708	1,812	1,961	1,621	1,163	1,664	2,147	2,223	2,250	1,541	1,866	1,029	7,497	1,115	1,641	1,426	2,105	2,178	1,269	1,711	1,613	2,084	1,942	1,090	854	1,888	2,181	2,185	2,072	1,936	1,789	1,860
6/13/21-6/19/21	1,088	828	1,173	2,193	938	1,209	1,539	1,206	1,063	1,239	840	1,130	815	1,110	746	1,266	1,086	628	1,113	875	2,177	937	1,645	1,165	1,198	1,631	1,315	1,623	1,141	934	1,012	1,406	1,334	1,144	1,163	1,165	1,395	946	1,497	1,337
