Rate of Rhode Island Residents Who Have Completed Primary Vaccine Series per 100,000 Population by Municipality of Residence and Week																																								
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry; US Census Bureau, 2018 American Community Survey 5-year population estimates																																								
Last updated:	10/20/2021																																							
																																								
NOTES: Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																								
																																								
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	TOTAL
4/11/21-4/17/21	3,752	2,483	2,073	841	2,802	2,322	2,110	3,625	3,381	2,164	2,846	1,450	2,286	1,923	2,857	2,217	3,350	2,710	3,035	3,698	5,562	1,999	3,171	1,802	2,802	2,050	2,882	1,599	2,859	2,169	2,238	3,110	2,036	2,422	2,391	2,282	2,079	1,746	2,001	2,278
4/18/21-4/24/21	3,820	2,442	2,231	2,126	2,725	2,993	2,808	2,733	4,123	2,432	3,730	1,919	2,942	2,281	3,621	2,600	3,017	2,910	3,253	2,868	4,837	2,560	3,644	3,198	2,648	2,509	3,284	2,515	2,452	2,669	2,640	2,629	2,415	2,794	3,053	3,123	2,759	2,038	1,907	2,727
4/25/21-5/1/21	5,699	3,684	2,954	1,120	3,560	4,078	4,227	3,754	4,972	3,659	4,291	3,156	3,081	3,637	4,258	3,650	4,029	3,738	3,881	3,595	5,804	2,799	4,335	3,869	3,636	4,065	4,203	3,297	3,252	3,961	3,763	3,097	3,067	4,081	4,171	3,577	3,937	3,885	2,605	3,694
5/2/21-5/8/21	4,574	2,541	2,364	2,667	3,123	3,312	3,674	3,125	4,414	3,827	2,743	2,517	2,912	3,193	3,457	3,472	3,114	2,311	3,085	2,637	3,386	2,601	3,915	3,321	2,688	3,471	2,796	3,252	3,763	3,159	2,783	2,639	2,080	3,061	3,303	3,480	3,668	3,518	2,443	3,238
5/9/21-5/15/21	7,912	5,420	4,522	2,492	4,679	5,973	5,658	5,893	7,160	5,998	5,957	5,737	5,009	4,907	5,986	5,175	5,572	4,251	6,170	4,926	9,190	6,029	6,773	4,553	4,705	4,100	5,936	5,001	5,757	5,583	5,326	5,434	4,584	5,645	6,275	6,020	6,341	3,766	3,491	5,326
5/16/21-5/22/21	2,188	2,586	2,407	1,847	3,676	2,753	2,134	3,013	2,700	2,289	2,875	1,919	2,336	3,440	2,984	2,347	2,546	2,625	3,004	2,669	8,585	2,791	3,892	2,449	2,875	2,368	3,003	2,123	3,659	2,282	2,344	3,062	2,264	2,899	2,473	2,573	2,528	3,664	2,976	2,547
5/23/21-5/29/21	1,416	1,448	1,519	1,491	2,185	2,111	1,924	1,732	1,369	1,501	2,020	1,727	1,292	2,022	1,365	1,738	1,469	1,170	1,841	1,582	9,553	1,862	2,072	1,935	1,522	1,580	1,889	1,816	2,151	1,773	1,396	1,552	1,511	2,117	2,030	1,974	2,293	1,993	1,955	1,796
5/30/21-6/5/21	3,431	1,399	1,647	1,532	2,185	1,475	1,685	1,486	3,274	1,404	1,416	1,898	2,594	2,786	1,765	1,262	1,696	827	1,754	1,100	5,441	1,361	1,751	1,343	1,547	1,342	1,872	1,722	2,675	1,537	1,258	1,451	1,113	1,678	1,575	1,408	1,340	999	1,235	1,600
6/6/21-6/12/21	2,856	1,664	2,243	2,363	1,170	2,403	1,665	2,190	2,677	1,812	1,961	1,621	1,163	1,664	2,129	2,217	2,250	1,541	1,866	1,023	7,618	1,115	1,641	1,420	2,105	2,175	1,269	1,710	1,613	2,084	1,946	1,090	854	1,878	2,179	2,185	2,072	1,932	1,791	1,858
6/13/21-6/19/21	1,088	828	1,173	2,203	938	1,212	1,538	1,203	1,063	1,239	840	1,130	815	1,110	746	1,262	1,086	628	1,120	881	2,177	933	1,641	1,152	1,198	1,632	1,315	1,624	1,154	934	1,012	1,396	1,334	1,135	1,166	1,149	1,385	941	1,495	1,336
